pubmed	year	title	professors
21786816	2011	Selective homogeneous hydrogenation of biogenic carboxylic acids with [Ru(TriPhos)H]+: a mechanistic study.	Jürgen Klankermayer
21661080	2011	Highly selective decarbonylation of 5-(hydroxymethyl)furfural in the presence of compressed carbon dioxide.	Jürgen Klankermayer
21031385	2010	Enantioselective hydrogenation with chiral frustrated Lewis pairs.	Jürgen Klankermayer
20586088	2010	Selective and flexible transformation of biomass-derived platform chemicals by a multifunctional catalytic system.	Jürgen Klankermayer
18683835	2008	Enantioselective hydrogenation with racemic and enantiopure binap in the presence of a chiral ionic liquid.	Jürgen Klankermayer
18438491	2008	Metal-free catalytic hydrogenation of imines with tris(perfluorophenyl)borane.	Jürgen Klankermayer
17912399	2007	Enantioselective catalysis with tropos ligands in chiral ionic liquids.	Jürgen Klankermayer
17695236	2007	Poly(ethylene glycol) stabilized Co nanoparticles as highly active and selective catalysts for the Pauson-Khand reaction.	Jürgen Klankermayer
17653371	2007	Role of the isopropyl group in asymmetric autocatalytic zinc alkylations.	Jürgen Klankermayer
17476403	2007	Enhancement of near-IR emission by bromine substitution in lanthanide complexes with 2-carboxamide-8-hydroxyquinoline.	Jürgen Klankermayer
17407112	2007	A comparison of phosphaferrocene and phospharuthenocene ligands in Rh+-catalysed enamide hydrogenation reactions: superior performance of the phospharuthenocene.	Jürgen Klankermayer
17048927	2006	Weak charge transfer between an acceptor molecule and metal surfaces enabling organic/metal energy level tuning.	Jürgen Klankermayer
16967124	2006	Dicatechol cis-dioxomolybdenum(VI): a building block for a lithium cation templated monomer-dimer equilibrium.	Jürgen Klankermayer
16708413	2006	Highly enantioselective aza-Baylis-Hillman reaction in a chiral reaction medium.	Jürgen Klankermayer
16316203	2005	Bifunctional activation and racemization in the catalytic asymmetric Aza-Baylis-Hillman reaction.	Jürgen Klankermayer
15116226	2004	Synthesis and resolution of the planar chirality of ester-functionalised phospharuthenocenes.	Jürgen Klankermayer
41185493	2026	Strong Metal-Support Interactions on TiO	Regina Palkovits
40755406	2025	Metallic Ni as Electron Acceptor Modulates the Redox of Catalytic Centers at Activated Ni	Regina Palkovits
40740116	2025	Sustainable Bisphenol A Alternatives from Vanillin and Erythritol Using Zeolite Catalysts.	Regina Palkovits
40552362	2025	From Turpentine to (-)-Menthol: A New Approach.	Regina Palkovits
40239096	2025	An Immobilized Rh-Based Solid Molecular Catalyst for the Reductive Hydroformylation of 1-Octene.	Regina Palkovits
39817697	2025	Pulsed-Current Operation Enhances H	Regina Palkovits
39746032	2025	Probing the Electric Double-Layer Capacitance to Understand the Reaction Environment in Conditions of Electrochemical Amination of Acetone.	Regina Palkovits
39307160	2024	Contributions of heterogeneous catalysis enabling resource efficiency and circular economy.	Regina Palkovits
39205488	2024	Metallic Impurities in Electrolysis: Catalytic Effect of Pb Traces in Reductive Amination and Acetone Reduction.	Regina Palkovits
39170715	2024	Origin of copper dissolution under electrocatalytic reduction conditions involving amines.	Regina Palkovits
38008736	2023	In situ adsorption of itaconic acid from fermentations of Ustilago cynodontis improves bioprocess efficiency.	Andreas Jupke,Regina Palkovits
37842921	2023	Copper Site Motion Promotes Catalytic NO	Regina Palkovits
36934285	2023	Respiration-based investigation of adsorbent-bioprocess compatibility.	Andreas Jupke,Regina Palkovits
36437229	2023	Innovative Electrochemical Strategies for Hydrogen Production: From Electricity Input to Electricity Output.	Regina Palkovits
36108176	2023	Single-Atom Catalysts on Covalent Triazine Frameworks: at the Crossroad between Homogeneous and Heterogeneous Catalysis.	Regina Palkovits
35293203	2022	Finding the Sweet Spot of Photocatalysis─A Case Study Using Bipyridine-Based CTFs.	Regina Palkovits
33901333	2021	Integrated Co-Electrolysis and Syngas Methanation for the Direct Production of Synthetic Natural Gas from CO	Regina Palkovits
32421219	2020	Tailoring Activated Carbons for Efficient Downstream Processing: Selective Liquid-Phase Adsorption of Lysine.	Regina Palkovits
32329490	2020	Elucidating the mechanism of the CO	Regina Palkovits
32005805	2020	Electronic parameters in cobalt-based perovskite-type oxides as descriptors for chemocatalytic reactions.	Regina Palkovits
31945254	2020	Molecular Porous Photosystems Tailored for Long-Term Photocatalytic CO	Regina Palkovits
31592572	2020	Mg(OH)	Regina Palkovits
31293859	2019	Playing with covalent triazine framework tiles for improved CO	Regina Palkovits
31034754	2019	Direct Synthesis of Methyl Formate from CO	Regina Palkovits
35518082	2019	Catalytic decomposition of N	Regina Palkovits
35539753	2018	Sulfonated covalent triazine-based frameworks as catalysts for the hydrolysis of cellobiose to glucose.	Regina Palkovits
29885272	2018	Mechanistic Studies of the Cu(OH)	Regina Palkovits
29694717	2018	Hydrogenation of CO	Regina Palkovits
29175949	2018	Efficient utilization of renewable feedstocks: the role of catalysis and process design.	Regina Palkovits
28165202	2017	Supported Molybdenum Catalysts for the Deoxydehydration of 1,4-Anhydroerythritol into 2,5-Dihydrofuran.	Regina Palkovits
28093888	2017	Synthesis of Butyl Levulinate Based on α-Angelica Lactone in the Presence of Easily Separable Heteropoly Acid Catalysts.	Regina Palkovits
27483194	2016	The Role of the Hydrogen Source on the Selective Production of γ-Valerolactone and 2-Methyltetrahydrofuran from Levulinic Acid.	Regina Palkovits
27335155	2017	Carbon Dioxide-Free Hydrogen Production with Integrated Hydrogen Separation and Storage.	Peter Wasserscheid,Regina Palkovits
27043017	2016	Solid Molecular Phosphine Catalysts for Formic Acid Decomposition in the Biorefinery.	Regina Palkovits
26948404	2016	Catalytic Isomerization of Biomass-Derived Aldoses: A Review.	Regina Palkovits
26611678	2015	Hetropolyacid-Catalyzed Oxidation of Glycerol into Lactic Acid under Mild Base-Free Conditions.	Regina Palkovits
26523853	2016	Alternative Monomers Based on Lignocellulose and Their Use for Polymer Production.	Regina Palkovits
26482331	2015	Base-Free Aqueous-Phase Oxidation of 5-Hydroxymethylfurfural over Ruthenium Catalysts Supported on Covalent Triazine Frameworks.	Regina Palkovits
26448526	2015	Unravelling the Ru-Catalyzed Hydrogenolysis of Biomass-Based Polyols under Neutral and Acidic Conditions.	Regina Palkovits
25641900	2015	Across the board: Regina Palkovits.	Regina Palkovits
25586312	2015	Selective aerobic oxidation of HMF to 2,5-diformylfuran on covalent triazine frameworks-supported Ru catalysts.	Regina Palkovits
25027166	2014	Efficient, solvent-free hydrogenation of α-angelica lactone catalysed by Ru/C at atmospheric pressure and room temperature.	Regina Palkovits
24596082	2014	Hydrogenolysis of cellulose over Cu-based catalysts-analysis of the reaction network.	Regina Palkovits
24038987	2013	Cu/MgAl(2)O(4) as bifunctional catalyst for aldol condensation of 5-hydroxymethylfurfural and selective transfer hydrogenation.	Regina Palkovits
23172370	2013	Direct methane oxidation over Pt-modified nitrogen-doped carbons.	Regina Palkovits
23060295	2012	Copper-based catalysts for efficient valorization of cellulose.	Regina Palkovits
22890968	2012	Development of heterogeneous catalysts for the conversion of levulinic acid to γ-valerolactone.	Regina Palkovits
22374680	2012	Hydrogenolysis goes bio: from carbohydrates and sugar alcohols to platform chemicals.	Regina Palkovits
22213713	2012	Isosorbide as a renewable platform chemical for versatile applications--quo vadis?	Regina Palkovits
21661072	2011	Cellulose-based sustainable polymers: state of the art and future trends.	Regina Palkovits
21103493	2011	Heteropoly acids as efficient acid catalysts in the one-step conversion of cellulose to sugar alcohols.	Regina Palkovits
20480484	2010	Pentenoic acid pathways for cellulosic biofuels.	Regina Palkovits
20155777	2010	Which controls the depolymerization of cellulose in ionic liquids: the solid acid catalyst or cellulose?	Regina Palkovits
19780100	2010	Development of molecular and solid catalysts for the direct low-temperature oxidation of methane to methanol.	Regina Palkovits
19655358	2009	Solid catalysts for the selective low-temperature oxidation of methane to methanol.	Regina Palkovits
18814164	2008	Depolymerization of cellulose using solid catalysts in ionic liquids.	Regina Palkovits
18720496	2008	Palladium-based telomerization of 1,3-butadiene with glycerol using methoxy-functionalized triphenylphosphine ligands.	Regina Palkovits
18605205	2008	Highly active catalysts for the telomerization of crude glycerol with 1,3-butadiene.	Regina Palkovits
16144407	2005	Hierarchically structured monolithic silicalite-1 consisting of crystallized nanoparticles and its performance in the Beckmann rearrangement of cyclohexanone oxime.	Regina Palkovits
41483564	2025	Stimuli-responsive microgels cross-linked through supramolecular interactions of peptides.	Andrij Pich
41383155	2025	Green Synthesis of Biobased NIPUrea-Acrylate Hybrids for Versatile, Fast-Curing Hot-Melt Coating Development.	Andrij Pich
41141584	2026	Smart dendrimer nanogels boost mRNA-based cancer therapy via synergistic glycolysis inhibition and immune activation.	Andrij Pich
41050570	2025	Depolymerization of PLA catalyzed by guanidine-modified microgels.	Andrij Pich,Sonja Herres-Pawlis
41026985	2025	Hyaluronic Acid Microgels as Sequential Drug Delivery Systems.	Andrij Pich
40908582	2025	Impact of Stimuli-Responsiveness on the mRNA Delivery Efficiency of Low-Generation Dendrimer Nanogels.	Andrij Pich
40847523	2025	Light-Gated Amine Exchange in Diarylethene-Crosslinked Microgels.	Andrij Pich
40652833	2025	Double network microgels based on dextran and fibrin with tunable structural, mechanical, and degradation properties.	Andrij Pich
40246794	2025	Functional Dendrimer Nanogels for DNA Delivery and Gene Therapy of Tumors.	Andrij Pich
40118775	2025	Hybrid Pectin-Fibroin Microgels with Supramolecular and Covalent Cross-Links.	Andrij Pich,Ulrich Schwaneberg
39982216	2025	Correction: Engineering poly(dehydroalanine)-based gels 	Andrij Pich
39907577	2025	Color-coded galectin fusion proteins as novel tools in biomaterial science.	Andrij Pich
39822058	2025	Sprayed Aqueous Microdroplets for Spontaneous Synthesis of Functional Microgels.	Andrij Pich
39811992	2025	Ionic Strength-Induced Compartmentalization for Nanogel-in-Microgel Colloids.	Andrij Pich
39757498	2025	Asymmetric Microgels with Tunable Morphologies by Assembly-Guided Polymerization of Liquid Crystalline Monomers.	Andrij Pich
39666445	2025	Advanced Bioresponsive Drug Delivery Systems for Promoting Diabetic Vascularized Bone Regeneration.	Andrij Pich
39387810	2024	Nanoscopic visualization of microgel-immobilized cytochrome P450 enzymes and their local activity.	Andrij Pich,Ulrich Schwaneberg
39289401	2024	Transvascular transport of nanocarriers for tumor delivery.	Andrij Pich
39175690	2024	Fabrication of oxygen-releasing dextran microgels by droplet-based microfluidic method.	Andrij Pich
39091063	2024	Selective Segregation of Thermo-Responsive Microgels via Microfluidic Technology.	Andrij Pich
39051502	2024	Engineering poly(dehydroalanine)-based gels 	Andrij Pich
39018489	2024	Nitrilotriacetic Acid Functionalized Microgels for Efficient Immobilization of Hyaluronan Synthase.	Andrij Pich
38991275	2024	Microgels with controlled network topologies by photocrosslinking-assisted continuous precipitation polymerization.	Andrij Pich
38920948	2024	Impact of Fibrin Gel Architecture on Hepatocyte Growth Factor Release and Its Role in Modulating Cell Behavior for Tissue Regeneration.	Andrij Pich
38898722	2024	Fibrin Hydrogels Reinforced by Reactive Microgels for Stimulus-Triggered Drug Administration.	Andrij Pich
38807305	2024	Microgels with Immobilized Glycosyltransferases for Enzymatic Glycan Synthesis.	Andrij Pich
38652238	2024	Adhesion Peptide-Functionalized Biobased Microgels for Controlled Delivery of Pesticides.	Andrij Pich,Ulrich Schwaneberg
38534600	2024	Fibrin-Based Hydrogels with Reactive Amphiphilic Copolymers for Mechanical Adjustments Allow for Capillary Formation in 2D and 3D Environments.	Andrij Pich
38525496	2024	"Correction to ""Fibrin-Dextran Hydrogels with Tunable Porosity and Mechanical Properties""."	Andrij Pich
38445533	2024	Enhancing Adhesion of Fibrin-Based Hydrogel to Polythioether Polymer Surfaces.	Andrij Pich
38170471	2024	Multiresponsive Core-Shell Microgels Functionalized by Nitrilotriacetic Acid.	Andrij Pich
37988182	2024	Cellular Architects at Work: Cells Building their Own Microgel Houses.	Andrij Pich,Matthias Wessling
37927076	2023	Renewable and Functional Latexes Synthesized by Polymerization-Induced Self-Assembly for UV-Curable Films.	Andrij Pich
37705132	2024	On-Chip Fabrication of Colloidal Suprastructures by Assembly and Supramolecular Interlinking of Microgels.	Andrij Pich
37574715	2023	Fibrin-Dextran Hydrogels with Tunable Porosity and Mechanical Properties.	Andrij Pich
37459449	2023	Function Follows Form: Oriented Substrate Nanotopography Overrides Neurite-Repulsive Schwann Cell-Astrocyte Barrier Formation in an 	Andrij Pich
37437855	2023	Strategies for Automated Enzymatic Glycan Synthesis (AEGS).	Andrij Pich
37434076	2023	Tuning the Porosity of Dextran Microgels with Supramacromolecular Nanogels as Soft Sacrificial Templates.	Andrij Pich
37387670	2023	Compartmentalized Polyampholyte Microgels by Depletion Flocculation and Coacervation of Nanogels in Emulsion Droplets.	Andrij Pich
37241274	2023	Novel Pectin Binder for Satelliting Carbides to H13 Tool Steel for PBF-LB Processing.	Andrij Pich
37233118	2023	Making microgels photo-responsive by complexation with a spiropyran surfactant.	Andrij Pich
37177824	2023	Mechanochemical Synthesis of Stimuli Responsive Microgels.	Andrij Pich
36585117	2023	Charge-reversible and biodegradable chitosan-based microgels for lysozyme-triggered release of vancomycin.	Andrij Pich
36535162	2023	Multicompartment polymeric colloids from functional precursor Microgel: Synthesis in continuous process.	Andrij Pich
36320583	2022	Mechanoresponsive diselenide-crosslinked microgels with programmed ultrasound-triggered degradation and radical scavenging ability for protein protection.	Andrij Pich
36315422	2024	Enhanced Stable Cavitation and Nonlinear Acoustic Properties of Poly(butyl cyanoacrylate) Polymeric Microbubbles after Bioconjugation.	Andrij Pich
36310110	2022	Anisotropic Microgels by Supramolecular Assembly and Precipitation Polymerization of Pyrazole-Modified Monomers.	Andrij Pich,Sonja Herres-Pawlis
36201158	2022	From In Vitro to Perioperative Vascular Tissue Engineering: Shortening Production Time by Traceable Textile-Reinforcement.	Andrij Pich
35549484	2022	Generation of Local Diffusioosmotic Flow by Light Responsive Microgels.	Andrij Pich
35547775	2022	Intelligent design of polymer nanogels for full-process sensitized radiotherapy and dual-mode computed tomography/magnetic resonance imaging of tumors.	Andrij Pich
35499043	2022	Safe and efficient 2D molybdenum disulfide platform for cooperative imaging-guided photothermal-selective chemotherapy: A preclinical study.	Andrij Pich
35367366	2022	Isoeugenol-functionalized nanogels inhibit peri-implantitis associated bacteria in vitro.	Andrij Pich
35319064	2022	Microgels react to force: mechanical properties, syntheses, and force-activated functions.	Andrij Pich
35187862	2022	Mechanically Resistant Poly(N-vinylcaprolactam) Microgels with Sacrificial Supramolecular Catechin Hydrogen Bonds.	Andrij Pich
35179345	2022	In-Line Characterization of the Temperature-Responsive Behavior of Surface-Bound Microgel Coatings by QCM-D: A Novel Strategy for Protein Repellence Evaluation.	Andrij Pich,Matthias Wessling
34984790	2022	Master of Chaos and Order: Opposite Microstructures of PCL-co-PGA-co-PLA Accessible by a Single Catalyst.	Andrij Pich,Sonja Herres-Pawlis
34865895	2022	A plea for the integration of Green Toxicology in sustainable bioeconomy strategies - Biosurfactants and microgel-based pesticide release systems as examples.	Andrij Pich,Lars Blank,Ulrich Schwaneberg
34599781	2021	Dynamic Nanoconfinement Enabled Highly Stretchable and Supratough Polymeric Materials with Desirable Healability and Biocompatibility.	Andrij Pich
34555082	2021	Guiding cell adhesion and motility by modulating cross-linking and topographic properties of microgel arrays.	Andrij Pich
34518865	2021	Stimuli-responsive microgels with cationic moieties: characterization and interaction with 	Andrij Pich
34347312	2021	Stimuli-Responsive Block Copolymer Micelles Based on Mussel-Inspired Metal-Coordinated Supramolecular Networks.	Andrij Pich
34271068	2021	A novel in vitro assay for peripheral nerve-related cell migration that preserves both extracellular matrix-derived molecular cues and nanofiber-derived topography.	Andrij Pich
34021658	2021	Zwitterionic Nanogels and Microgels: An Overview on Their Synthesis and Applications.	Andrij Pich
33869898	2021	Intelligent nanogels with self-adaptive responsiveness for improved tumor drug delivery and augmented chemotherapy.	Andrij Pich
33778202	2021	Dendrimer-decorated nanogels: Efficient nanocarriers for biodistribution 	Andrij Pich
33631532	2021	Protecting redesigned supercharged ferritin containers against protease by integration into acid-cleavable polyelectrolyte microgels.	Andrij Pich
33450454	2021	"A dual thermoresponsive and antifouling zwitterionic microgel with pH triggered fluorescent ""on-off"" core."	Andrij Pich
33331763	2020	Stimuli-Responsive Zwitterionic Core-Shell Microgels for Antifouling Surface Coatings.	Andrij Pich,Matthias Wessling
33284004	2021	Functionalized Cellulose Nanocrystals for Cellular Labeling and Bioimaging.	Andrij Pich
33210916	2020	Dual-Degradable Biohybrid Microgels by Direct Cross-Linking of Chitosan and Dextran Using Azide-Alkyne Cycloaddition.	Andrij Pich
33206503	2020	MicroGelzymes: pH-Independent Immobilization of Cytochrome P450 BM3 in Microgels.	Andrij Pich,Ulrich Schwaneberg
33089652	2020	Trypsin-Free Cultivation of 3D Mini-Tissues in an Adaptive Membrane Bioreactor.	Andrij Pich,Matthias Wessling
32932178	2021	Visible light and temperature dual-responsive microgels by crosslinking of spiropyran modified prepolymers.	Andrij Pich
35648523	2020	Dual-Temperature-Responsive Microgels from a Zwitterionic Functional Graft Copolymer with Superior Protein Repelling Property.	Andrij Pich
35648562	2020	Scavenging One of the Liquids versus Emulsion Stabilization by Microgels in a Mixture of Two Immiscible Liquids.	Andrij Pich
32355940	2020	Enhanced catalytic activity of copper complexes in microgels for aerobic oxidation of benzyl alcohols.	Andrij Pich,Sonja Herres-Pawlis
32248678	2020	Compression and Ordering of Microgels in Monolayers Formed at Liquid-Liquid Interfaces: Computer Simulation Studies.	Andrij Pich
31962136	2020	Biofunctionalized zinc peroxide nanoparticles inhibit peri-implantitis associated anaerobes and Aggregatibacter actinomycetemcomitans pH-dependent.	Andrij Pich
31940180	2020	Enzymatic Synthesis of 2-(β-Galactosyl)-ethyl Methacrylate by β-Galactosidase from 	Andrij Pich
31919957	2020	Pros and Cons: Supramolecular or Macromolecular: What Is Best for Functional Hydrogels with Advanced Properties?	Andrij Pich
31918202	2020	Amphiphilic PVCL/TBCHA microgels: From synthesis to characterization in a highly selective solvent.	Andrij Pich
31681904	2019	Synthesis of Poly(	Alexander Mitsos,Andrij Pich
31664769	2020	Synthesis of Polyampholyte Janus-like Microgels by Coacervation of Reactive Precursors in Precipitation Polymerization.	Andrij Pich
31642835	2019	Electroactive and degradable supramolecular microgels.	Andrij Pich
31610307	2020	Enhanced catalyst performance through compartmentalization exemplified by colloidal l-proline modified microgel catalysts.	Andrij Pich
31587400	2020	Undiscovered Potential: Ge Catalysts for Lactide Polymerization.	Andrij Pich,Sonja Herres-Pawlis
31577418	2019	Selective Functionalization of Microgels with Enzymes by Sortagging.	Andrij Pich,Ulrich Schwaneberg
31502601	2019	Influence of size, crosslinking degree and surface structure of poly(N-vinylcaprolactam)-based microgels on their penetration into multicellular tumor spheroids.	Andrij Pich
31459582	2019	Direct Monitoring of Microgel Formation during Precipitation Polymerization of 	Alexander Mitsos,Andrij Pich
31384524	2019	Towards New Robust Zn(II) Complexes for the Ring-Opening Polymerization of Lactide Under Industrially Relevant Conditions.	Andrij Pich,Sonja Herres-Pawlis
31361077	2019	Biadhesive Peptides for Assembling Stainless Steel and Compound Loaded Micro-Containers.	Andrij Pich,Ulrich Schwaneberg
31338277	2019	Heterolepic 	Andrij Pich,Sonja Herres-Pawlis
31162765	2019	Amylose-Coated Biohybrid Microgels by Phosphorylase-Catalyzed Grafting-From Polymerization.	Andrij Pich
31063533	2019	Aqueous microgels modified with photosensitive wedge-shaped amphiphilic molecules: synthesis, structure and photochemical behaviour.	Andrij Pich
31025694	2019	Amphiphilic microgels adsorbed at oil-water interfaces as mixers of two immiscible liquids.	Andrij Pich
30998365	2019	Nanogels and Microgels: From Model Colloids to Applications, Recent Developments, and Future Trends.	Andrij Pich
30997726	2019	Selenium-Modified Microgels as Bio-Inspired Oxidation Catalysts.	Andrij Pich
30992730	2019	Synthesis of acylglycerol derivatives by mechanochemistry.	Andrij Pich
30916678	2019	Functional selenium modified microgels: temperature-induced phase transitions and network morphology.	Andrij Pich
30822384	2019	"Distribution of Ionizable Groups in Polyampholyte Microgels Controls Interactions with Captured Proteins: From Blockade and ""Levitation"" to Accelerated Release."	Andrij Pich
30811863	2019	New Kids in Lactide Polymerization: Highly Active and Robust Iron Guanidine Complexes as Superior Catalysts.	Andrij Pich,Sonja Herres-Pawlis
30758389	2019	Tuning a robust system: N,O zinc guanidine catalysts for the ROP of lactide.	Andrij Pich,Sonja Herres-Pawlis
30690386	2019	Redox-responsive degradable prodrug nanogels for intracellular drug delivery by crosslinking of amine-functionalized poly(N-vinylpyrrolidone) copolymers.	Andrij Pich
30608144	2019	Stimuli-Responsive Poly( N-Vinyllactams) with Glycidyl Side Groups: Synthesis, Characterization, and Conjugation with Enzymes.	Andrij Pich,Ulrich Schwaneberg
30357796	2018	[Delayed Occluding Membrane (DOM) - A New Concept to Prevent Spinal Cord Ischaemia During Endovascular Aortic Aneurysm Repair].	Andrij Pich
30350378	2018	In Situ Growth and Size Regulation of Single Gold Nanoparticles in Composite Microgels.	Andrij Pich
29952202	2018	From Batch to Continuous Precipitation Polymerization of Thermoresponsive Microgels.	Andrij Pich,Matthias Wessling
29774926	2018	An anionic shell shields a cationic core allowing for uptake and release of polyelectrolytes within core-shell responsive microgels.	Andrij Pich
29388283	2018	Supramolecular Stimuli-Responsive Microgels Crosslinked by Tannic Acid.	Andrij Pich
28745493	2017	Sortase-Mediated Surface Functionalization of Stimuli-Responsive Microgels.	Andrij Pich,Ulrich Schwaneberg
28529633	2017	Noninvasive Assessment of Elimination and Retention using CT-FMT and Kinetic Whole-body Modeling.	Andrij Pich
28524364	2017	Biofunctional Microgel-Based Fertilizers for Controlled Foliar Delivery of Nutrients to Plants.	Andrij Pich,Ulrich Schwaneberg
28371270	2017	Physicochemical Characterization of the Shell Composition of PBCA-Based Polymeric Microbubbles.	Andrij Pich
28279799	2017	PBCA-based polymeric microbubbles for molecular imaging and drug delivery.	Andrij Pich
28217774	2017	Internal structure and phase transition behavior of stimuli-responsive microgels in PEG melts.	Andrij Pich
28128895	2017	Functional Isoeugenol-Modified Nanogel Coatings for the Design of Biointerfaces.	Andrij Pich
29563415	2017	"Modified Glass Ionomer Cement with ""Remove on Demand"" Properties: An In Vitro Study."	Andrij Pich
28067034	2017	Gadolinium-Loaded Poly(N-vinylcaprolactam) Nanogels: Synthesis, Characterization, and Application for Enhanced Tumor MR Imaging.	Andrij Pich
32263814	2016	A facile approach for thermal and reduction dual-responsive prodrug nanogels for intracellular doxorubicin delivery.	Andrij Pich
30974691	2016	Diffusive Motion of Linear Microgel Assemblies in Solution.	Andrij Pich
