reaction	kingdom	input	input name	reagent	reagent name	output	output name	output 2	output 2 name	type	type name	desc.	references
26	PET	CHEBI:747247	terephthalonitrile			CHEBI:747249	1,4-bis(aminomethyl)cyclohexane			MOP:0000589	hydrogenation		
27	PET	CHEBI:747250	diaminopropylterephthalamide	CHEBI:16008	salicylaldehyde	CHEBI:747251	HBAPTPA			RXNO:0000335	reductive amination		https://doi.org/10.1039/D4SU00658E, figure 15
28	PET	CHEBI:53259	PET			CHEBI:747252	1,4-di(hydroxymethyl)benzene				hydrogenolysis		https://doi.org/10.1126/sciadv.aat9669
29	PET	CHEBI:53259	PET			CHEBI:27417	p-xylene	CHEBI:30742	ethylene glycol		hydrogenative depolymerization		https://doi.org/10.1039/D3GC03145D|https://doi.org/10.1021/acssuschemeng.3c08206|https://doi.org/10.1002/cssc.202402013
30	PET	CHEBI:53259	PET			CHEBI:747245	CHDM	CHEBI:30742	ethylene glycol		hydrogenative depolymerization		https://doi.org/10.1002/anie.202408561
31	PET	CHEBI:53259	PET			CHEBI:747253	alkyl 4-(hydroxymethyl)benzoates	CHEBI:30742	ethylene glycol		hydrogenative depolymerization		https://doi.org/10.1002/anie.202408561
32	PET	CHEBI:53259	PET			CHEBI:747254	methyl 4-(hydroxymethyl)benzoate	CHEBI:30742	ethylene glycol		hydrogenative depolymerization		https://doi.org/10.1002/anie.202408561
33	PET	CHEBI:53259	PET			CHEBI:747255	ethyl 4-(hydroxymethyl)benzoate	CHEBI:30742	ethylene glycol		hydrogenative depolymerization	the paper has three great examples showing how this product is a precursor for three important pharma drug syntheses	https://doi.org/10.1002/anie.202408561
34	PET	CHEBI:53259	PET			CHEBI:747256	isopropyl 4-(hydroxymethyl)benzoate	CHEBI:30742	ethylene glycol		hydrogenative depolymerization		https://doi.org/10.1002/anie.202408561
35	PET	CHEBI:53259	PET			CHEBI:747257	n-butyl 4-(hydroxymethyl)benzoate	CHEBI:30742	ethylene glycol		hydrogenative depolymerization		https://doi.org/10.1002/anie.202408561
36	PLA	CHEBI:53407	PLA			CHEBI:83219	lactate ester			MOP:0000620	alcholysis
37	PLA	CHEBI:53407	PLA	CHEBI:16236	ethanol	CHEBI:78321	ethyl lactate			MOP:0000624	ethanolysis		https://doi.org/10.1002/asia.202201195
38	PLA	CHEBI:53407	PLA		n-BuOH		n-butyl lactate			MOP:0000626	butanolysis		https://doi.org/10.1002/asia.202201195
39	PLA	CHEBI:53407	PLA		i-BuOH		i-butyl lactate			MOP:0000626	butanolysis		https://doi.org/10.1002/asia.202201195
40	PLA	CHEBI:53407	PLA		BnOH		benyzl lactate			MOP:0000620	alcholysis		https://doi.org/10.1002/asia.202201195
41	PLA	CHEBI:53407	PLA		AllylOH		allyl lactate			MOP:0000620	alcholysis		https://doi.org/10.1002/asia.202201195
42	PLA	CHEBI:53407	PLA		BnNH2		???			MOP:0000620	alcholysis		https://doi.org/10.1002/asia.202201195
